sid,pid
986,6738
909,6738
1113,6738
1112,6738
1010,6738
687,6743
1120,6743
916,6743
1112,6743
1067,6743
1120,6749
690,6747
1111,6747
915,6747
688,6747
692,6747
986,6751
1111,6751
987,6751
58,6751
1007,6751
687,6799
987,6799
1119,6799
1112,6799
1013,6799
687,6798
1120,6798
916,6798
1112,6798
692,6798
1066,7066
1120,7066
693,7066
1113,6775
1012,6775
1113,6776
163,6776
1013,6776
1012,6776
60,6776
985,6774
909,6774
1113,6774
58,6774
1012,6774
1066,6779
1111,6779
912,6779
163,6779
693,6779
905,6792
1111,6792
58,6792
1007,6792
693,6792
985,6791
1115,6791
1119,6791
1116,6791
1010,6791
986,6787
1111,6787
987,6787
1116,6787
1012,6787
1114,6560
987,6560
1120,6560
916,6560
1011,6560
1011,6630
912,6629
1119,6629
1116,6629
688,6629
60,6629
1112,6898
986,6897
1111,6938
1119,6938
1118,6938
58,6938
1007,6938
1111,6931
1120,6931
1116,6931
986,6984
1116,6984
1067,6984
1010,6984
60,6984
1110,6816
1114,6816
688,6816
1066,6815
1111,6815
1120,6815
1116,6815
986,6825
909,6825
1113,6825
1112,6825
1010,6825
1110,6827
690,6827
1114,6827
688,6827
693,6827
986,6832
1066,6832
987,6832
912,6832
163,6832
1114,6830
163,6830
1007,6830
1011,6830
1110,6833
1114,6833
58,6833
34,6833
690,6849
1114,6849
1117,6849
1011,6849
1066,6851
1120,6851
907,6802
986,6802
909,6802
987,6802
1110,6803
1114,6803
163,6803
1007,6803
1011,6803
909,6901
687,6899
1066,6899
1111,6899
688,6899
60,6899
909,6900
1120,6900
1113,6875
1118,6875
1116,6875
909,6882
1120,6882
1110,6878
1113,6878
163,6878
1119,6883
1120,6883
916,6883
1011,6883
1013,6883
1111,6884
1120,6884
58,6884
1007,6884
1012,6884
687,6886
1115,6886
1008,6886
58,6886
1013,6886
909,6758
1113,6758
916,6758
58,6758
1012,6758
985,6757
986,6763
34,6763
693,6763
1110,6755
1114,6755
688,6755
58,6755
34,6755
1111,6766
1120,6766
1011,6766
985,7031
985,7033
1115,7033
912,7033
987,6911
1119,6911
60,6911
690,6913
1111,6913
1120,6913
1115,6914
690,6914
1111,6914
34,6914
1012,6914
1110,6922
1115,6922
1114,6922
688,6922
34,6922
1008,6903
1013,6903
909,6945
912,6945
1120,6945
1012,6945
912,6965
1008,6965
986,6970
909,6970
1113,6970
1118,6970
1116,6970
987,6973
915,6977
915,6976
687,6866
1066,6866
912,6866
1118,6866
1112,6866
909,6949
1113,6949
1119,6949
58,6949
1007,6949
985,7005
1115,7005
1114,7005
1119,7005
1116,7005
1120,6638
1011,6638
915,6698
1110,6700
1115,6700
1114,6700
688,6700
34,6700
986,6990
1120,7039
1011,7039
909,7040
912,7040
1120,7040
1115,7043
1114,7043
912,7043
688,7043
34,7043
687,7044
1115,7044
1066,7044
34,7044
693,7044
1110,7050
1111,7050
916,7050
688,7050
34,7050
1111,7056
987,7056
915,7056
58,7056
1007,7056
1115,6960
912,6960
1111,7088
58,7088
1007,7088
916,7097
1112,7097
1067,7097
1011,7097
915,7096
915,7108
915,7104
915,7110
915,7103
915,7102
915,7101
915,7100
915,7109
915,7106
1115,7111
1066,7111
912,7111
1120,7111
1115,7105
1113,7105
912,7105
1118,7105
34,7105
986,7112
909,7112
1113,7112
1112,7112
1010,7112
915,7118
1115,7239
912,7239
1119,7239
1116,7239
1066,7338
909,7338
912,7338
1120,7338
986,7337
986,7336
1110,7533
1117,7533
916,7533
1012,7533
986,7150
986,7162
986,7165
1115,7165
986,7170
1066,7173
909,7173
1111,7173
1120,7173
1011,7173
986,7176
915,7201
915,7202
915,7240
915,7241
690,7459
1011,7459
1110,7461
1115,7461
1114,7461
688,7461
34,7461
1110,7499
1115,7499
1114,7499
688,7499
34,7499
1110,7458
1115,7458
1114,7458
688,7458
34,7458
907,7224
986,7224
915,7224
1120,7224
58,7224
907,7233
58,7233
1007,7233
1113,7280
1066,7418
1120,7418
1011,7418
692,7419
692,7588
915,7587
916,7587
1067,7587
60,7587
915,7260
915,7263
985,7261
1110,7261
1115,7261
915,7261
58,7261
907,7264
985,7273
1115,7273
1114,7273
987,7273
1118,7273
1120,7246
985,7248
1115,7248
1114,7248
1119,7248
1012,7248
985,7465
986,7465
909,7465
915,7465
1012,7465
1110,7463
1114,7463
688,7463
1011,7463
690,7464
1110,7541
1115,7541
1114,7541
688,7541
34,7541
912,7537
1119,7537
1118,7537
163,7537
907,7540
986,7540
1116,7540
58,7540
693,7540
1115,7536
1120,7536
905,7538
907,7538
986,7538
690,7538
690,7302
1110,7308
907,7308
1113,7308
1012,7308
907,7311
986,7311
58,7311
1110,7313
1114,7313
688,7313
34,7313
985,7323
1115,7323
912,7323
915,7323
1116,7323
907,7312
986,7312
1066,7312
693,7312
985,7322
1113,7322
1118,7322
1007,7322
1113,7319
986,7125
1110,7127
163,7127
1012,7127
1119,7208
1008,7208
1010,7208
1013,7208
907,7423
987,7423
58,7423
1012,7423
986,7421
693,7421
986,7420
1110,7424
1115,7424
1114,7424
688,7424
34,7424
1120,7422
1007,7422
1011,7422
986,7360
1117,7360
693,7360
986,7359
1117,7359
693,7359
1066,7357
909,7357
912,7357
1117,7357
985,7367
1113,7367
1114,7367
1118,7367
1007,7367
986,7355
693,7355
1110,7370
690,7370
1114,7370
1067,7370
34,7370
1120,7379
1007,7379
1011,7379
1120,7381
1007,7381
1011,7381
690,7383
1114,7383
916,7383
1116,7383
985,7376
1119,7376
1117,7376
1116,7376
1012,7376
1115,7374
987,7374
1120,7374
163,7374
1011,7374
909,7375
1120,7375
1110,7378
1115,7378
1114,7378
1117,7378
34,7378
687,7385
1115,7385
58,7385
1011,7385
1013,7385
986,7388
986,7387
905,7293
1115,7293
1117,7293
1011,7293
60,7293
986,7291
688,7291
987,7294
907,7290
986,7290
693,7290
687,7288
1066,7288
909,7288
912,7288
907,7345
986,7345
1111,7345
693,7345
1011,7345
907,7595
1111,7595
915,7595
58,7595
1007,7595
687,7403
1066,7403
1117,7403
916,7403
1112,7403
912,7406
985,7408
907,7408
1111,7408
60,7408
1120,7415
1007,7415
1011,7415
1110,7407
1115,7407
909,7407
1117,7407
34,7407
1113,7412
912,7412
1118,7412
1008,7412
1010,7412
907,7411
986,7411
693,7411
915,7409
915,7192
907,7190
986,7190
693,7190
1066,7196
912,7196
1120,7196
1011,7196
907,7194
986,7194
1117,7194
693,7194
985,7213
1113,7213
1118,7213
1110,7191
907,7191
1111,7191
916,7191
693,7191
1113,7209
1012,7209
915,7211
986,7257
1117,7257
34,7257
907,7469
986,7469
