id,boletin,fecha,resumen,estado,url
6556,9962-12,2015-01-04,"Modifica el decreto ley N° 2.222, de 1978, con el objeto de prohibir el vertimiento,  derrame o disposición de resiuos mineros en las aguas sometidas a la jurisdicción nacional.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9962-12
6557,9970-12,2015-01-04,Establece la conformación de mesas de trabajo como mecanismo de participación ciudadana en los proyectos mineros y energéticos.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9970-12
6558,9963-15,2015-01-04,"Modifica la ley N° 18.290, de Tránsito, en lo tocante al régimen de infracciones y sanciones específicas aplicables a conductores y propietarios de buses interurbanos.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9963-15
6559,10077-06,2015-01-06,"Regula la realización de bingos, rifas y sorteos comunitarios con fines de beneficencia, los que no serán considerados juego de azar.",aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10077-06
6560,10071-15,2015-01-06,Modifica la ley que establece nuevo régimen legal para la industria automotriz con el fin de prohibir la importación de coches blindados usados para el transporte de valores.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10071-15
6561,10162-05,2015-01-07,"Modifica las leyes N°s 18.045 y 18.046, para establecer nuevas exigencias de transparencia y reforzamiento de responsabilidades de los agentes de los mercados.",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10162-05
6562,10161-08,2015-01-07,"Modifica la Ley General de Servicios Eléctricos, para introducir mecanismos de equidad en las tarifas eléctricas.",aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10161-08
6563,10165-05,2015-01-07,Moderniza la legislación aduanera.,aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10165-05
6564,10169-07,2015-01-07,Modifica el Código Civil para establecer la obligación de las personas jurídicas de observar las normas y principios de probidad y transparencia.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10169-07
6565,10170-16,2015-01-07,Modifica el Reglamento de la Cámara de Diputados para crear la comisión permanente de la infancia.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10170-16
6566,10164-05,2015-01-07,Perfecciona al Sistema de Alta Dirección Pública y Fortalece la Dirección Nacional del Servicio Civil.,aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10164-05
6567,10171-16,2015-01-07,Modifica el Reglamento de la Cámara de Diputados para crear la comisión permanente del adulto mayor.,tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10171-16
6568,10277-06,2015-01-09,"Crea la XVI Región de Ñuble y las provincias de Diguillín, Punilla e Itata.",aprobado,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10277-06
6569,10279-31,2015-01-09,"Modifica la ley N° 20.422, que establece normas sobre igualdad de oportunidades e inclusión social de personas con discapacidad, para incorporar la lengua de señas o el subtitulado oculto en los programas de contenido infantil o cultural",tramitacion,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10279-31
